"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"266351330231_779174707587256/266351330231_773098801528180/266351330231_773098801528180","115","16","2","266351330231_773098801528180","data","data.*","fetched (200)","2024-03-05 19:33:51.249695","Facebook:/<post-id>/comments","Coming to The Nelson-Atkins Museum of Art in 2024! Time to visit Kansas City","2023-12-22T05:23:41+0000","","",""
"266351330231_779174707587256/266351330231_773098801528180/266351330231_773098801528180","116","16","2","266351330231_773098801528180","data","data.*","fetched (200)","2024-03-05 19:33:51.249695","Facebook:/<post-id>/comments","Amazing day for the team once again ✅💹🤑💰. Swipe right to see more of today’s profit rolling in  if you’re interested in copying our EXACT trade shoot me a DM-Hallo, entschuldigen Sie die Unannehmlichkeiten mit Ihrem Konto. Ich garantiere 💯prozentige Sicherheit bei der Wiederherstellung Ihres Kontos. Schicken Sie mir eine Nachricht zur Genesung❤️💯✔️","2023-12-21T21:34:01+0000","","",""
"266351330231_779174707587256/266351330231_773098801528180/266351330231_773098801528180","117","16","2","266351330231_773098801528180","offcut","","fetched (200)","2024-03-05 19:33:51.249695","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_772582361579824","17","1","1","266351330231_772582361579824","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","Looking to make last-minute gifting easier? Use our ""Order & Pick"" delivery option when you buy online to get SAME-DAY pickup in stores!  Available until 12/24✨  #Uniqlo #Uniqlousa","2023-12-20T20:54:19+0000","","",""
"266351330231_779174707587256/266351330231_772582361579824/266351330231_772582361579824","60","17","2","266351330231_772582361579824","data","data.*","fetched (200)","2024-03-05 19:33:41.259700","Facebook:/<post-id>/comments","👏👏👏👏👍👍🥰🥰🥰","2023-12-20T21:29:13+0000","","",""
"266351330231_779174707587256/266351330231_772582361579824/266351330231_772582361579824","61","17","2","266351330231_772582361579824","offcut","","fetched (200)","2024-03-05 19:33:41.259700","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_772582361579824/266351330231_772582361579824","118","17","2","266351330231_772582361579824","data","data.*","fetched (200)","2024-03-05 19:33:51.561422","Facebook:/<post-id>/comments","👏👏👏👏👍👍🥰🥰🥰","2023-12-20T21:29:13+0000","","",""
"266351330231_779174707587256/266351330231_772582361579824/266351330231_772582361579824","119","17","2","266351330231_772582361579824","offcut","","fetched (200)","2024-03-05 19:33:51.561422","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_772393608265366","18","1","1","266351330231_772393608265366","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","Exciting news: UNIQLO x Marimekko 2024 New Year is coming!   A limited-edition collection to inspire adventure and enrich the pleasure of cozy dressing.The collection will be available in January 4th at UNIQLO stores and online stores.  Catch the first glimpse here:https://bit.ly/41q1Heg","2023-12-20T14:30:51+0000","","",""
"266351330231_779174707587256/266351330231_772393608265366/266351330231_772393608265366","62","18","2","266351330231_772393608265366","empty","","fetched (200)","2024-03-05 19:33:41.783028","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_772393608265366/266351330231_772393608265366","63","18","2","266351330231_772393608265366","offcut","","fetched (200)","2024-03-05 19:33:41.783028","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_772393608265366/266351330231_772393608265366","120","18","2","266351330231_772393608265366","empty","","fetched (200)","2024-03-05 19:33:51.863535","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_772393608265366/266351330231_772393608265366","121","18","2","266351330231_772393608265366","offcut","","fetched (200)","2024-03-05 19:33:51.863535","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_771887441649316","19","1","1","266351330231_771887441649316","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","Ultra Light Down is the secret to walking in a winter wonderland ❄️❄️   Shop the lightweight yet warm lineup of layers in stores + online here: https://bit.ly/3v2flZ9  #Uniqlo #Uniqlousa","2023-12-19T20:47:07+0000","","",""
"266351330231_779174707587256/266351330231_771887441649316/266351330231_771887441649316","64","19","2","266351330231_771887441649316","data","data.*","fetched (200)","2024-03-05 19:33:42.291147","Facebook:/<post-id>/comments","I like these! I've collected several over the years. Am wearing one now!","2023-12-22T12:28:20+0000","","",""
"266351330231_779174707587256/266351330231_771887441649316/266351330231_771887441649316","65","19","2","266351330231_771887441649316","data","data.*","fetched (200)","2024-03-05 19:33:42.291147","Facebook:/<post-id>/comments","The Best! Its a pity we can’t get them in Ecuador.","2023-12-20T01:37:03+0000","","",""
"266351330231_779174707587256/266351330231_771887441649316/266351330231_771887441649316","66","19","2","266351330231_771887441649316","data","data.*","fetched (200)","2024-03-05 19:33:42.291147","Facebook:/<post-id>/comments","The Best Ever","2023-12-20T19:48:15+0000","","",""
"266351330231_779174707587256/266351330231_771887441649316/266351330231_771887441649316","67","19","2","266351330231_771887441649316","data","data.*","fetched (200)","2024-03-05 19:33:42.291147","Facebook:/<post-id>/comments","Whoa almost $80!","2023-12-20T01:51:27+0000","","",""
"266351330231_779174707587256/266351330231_771887441649316/266351330231_771887441649316","68","19","2","266351330231_771887441649316","offcut","","fetched (200)","2024-03-05 19:33:42.291147","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_771887441649316/266351330231_771887441649316","122","19","2","266351330231_771887441649316","data","data.*","fetched (200)","2024-03-05 19:33:52.176885","Facebook:/<post-id>/comments","I like these! I've collected several over the years. Am wearing one now!","2023-12-22T12:28:20+0000","","",""
"266351330231_779174707587256/266351330231_771887441649316/266351330231_771887441649316","123","19","2","266351330231_771887441649316","data","data.*","fetched (200)","2024-03-05 19:33:52.176885","Facebook:/<post-id>/comments","The Best! Its a pity we can’t get them in Ecuador.","2023-12-20T01:37:03+0000","","",""
"266351330231_779174707587256/266351330231_771887441649316/266351330231_771887441649316","124","19","2","266351330231_771887441649316","data","data.*","fetched (200)","2024-03-05 19:33:52.176885","Facebook:/<post-id>/comments","The Best Ever","2023-12-20T19:48:15+0000","","",""
"266351330231_779174707587256/266351330231_771887441649316/266351330231_771887441649316","125","19","2","266351330231_771887441649316","data","data.*","fetched (200)","2024-03-05 19:33:52.176885","Facebook:/<post-id>/comments","Whoa almost $80!","2023-12-20T01:51:27+0000","","",""
"266351330231_779174707587256/266351330231_771887441649316/266351330231_771887441649316","126","19","2","266351330231_771887441649316","offcut","","fetched (200)","2024-03-05 19:33:52.176885","Facebook:/<post-id>/comments","","","","",""
